Time,future,past
02-04-2022 03:00,0.94,0.34
02-04-2022 04:00,0.77,0.34
02-04-2022 05:00,0.72,0.34
02-04-2022 06:00,0.96,0.34
02-04-2022 07:00,1.16,1.34
02-04-2022 08:00,1.21,1.34
02-04-2022 09:00,1.46,1.34
02-04-2022 10:00,1.55,2.34
02-04-2022 11:00,1.71,2.34
02-04-2022 12:00,1.76,2.34
02-04-2022 13:00,2.23,3.34
02-04-2022 14:00,2.34,2.34
02-04-2022 15:00,2.2,2.34
02-04-2022 16:00,2.0,2.34
02-04-2022 17:00,1.65,1.34
02-04-2022 18:00,0.99,0.34
02-04-2022 19:00,0.34,-1.66
02-04-2022 20:00,0.3,-1.66
02-04-2022 21:00,0.22,-2.66
02-04-2022 22:00,0.32,-3.66
02-04-2022 23:00,0.61,-1.66
03-04-2022 00:00,0.89,-2.66
03-04-2022 01:00,0.73,-1.66
03-04-2022 02:00,0.41,-1.66
03-04-2022 03:00,0.46,-0.66
03-04-2022 04:00,0.58,0.34
03-04-2022 05:00,0.61,0.34
03-04-2022 06:00,1.04,1.34
03-04-2022 07:00,1.55,2.34
03-04-2022 08:00,1.95,2.34
03-04-2022 09:00,2.33,3.34
03-04-2022 10:00,4.34,4.34
03-04-2022 11:00,4.0,4.34
03-04-2022 12:00,3.76,4.34
03-04-2022 13:00,3.56,4.34
03-04-2022 14:00,3.25,5.34
03-04-2022 15:00,3.01,4.34
03-04-2022 16:00,2.97,4.34
03-04-2022 17:00,2.98,4.34
03-04-2022 18:00,2.8,3.34
03-04-2022 19:00,3.17,3.34
03-04-2022 20:00,4.18,4.34
03-04-2022 21:00,4.34,4.34
03-04-2022 22:00,4.2,4.34
03-04-2022 23:00,3.99,4.34
04-04-2022 00:00,3.45,4.34
04-04-2022 01:00,3.57,3.34
04-04-2022 02:00,3.32,4.34
04-04-2022 03:00,3.55,4.34
04-04-2022 04:00,3.53,4.34
04-04-2022 05:00,3.34,4.34
04-04-2022 06:00,3.19,3.34
04-04-2022 07:00,2.89,3.34
04-04-2022 08:00,2.58,3.34
04-04-2022 09:00,2.53,3.34
04-04-2022 10:00,2.36,3.34
04-04-2022 11:00,2.16,3.34
04-04-2022 12:00,2.03,2.34
04-04-2022 13:00,1.82,2.34
04-04-2022 14:00,1.71,2.34
04-04-2022 15:00,1.86,2.34
04-04-2022 16:00,3.22,2.34
04-04-2022 17:00,3.34,3.34
04-04-2022 18:00,3.77,4.34
04-04-2022 19:00,5.24,5.34
04-04-2022 20:00,5.34,5.34
04-04-2022 21:00,5.08,5.34
04-04-2022 22:00,4.65,4.34
04-04-2022 23:00,4.09,4.34
05-04-2022 00:00,3.32,4.34
05-04-2022 01:00,2.72,3.34
05-04-2022 02:00,2.58,3.34
05-04-2022 03:00,2.32,3.34
05-04-2022 04:00,2.09,3.34
05-04-2022 05:00,1.38,3.34
05-04-2022 06:00,1.84,3.34
05-04-2022 07:00,1.74,2.34
05-04-2022 08:00,1.96,2.34
05-04-2022 09:00,2.48,3.34
05-04-2022 10:00,2.68,-0.66
05-04-2022 11:00,2.85,3.34
05-04-2022 12:00,3.27,5.34
05-04-2022 13:00,3.44,5.34
05-04-2022 14:00,3.71,5.34
05-04-2022 15:00,3.77,5.34
05-04-2022 16:00,3.62,4.34
05-04-2022 17:00,3.27,4.34
05-04-2022 18:00,3.04,3.34
05-04-2022 19:00,3.19,3.34
05-04-2022 20:00,3.47,3.34
05-04-2022 21:00,3.34,3.34
05-04-2022 22:00,3.34,3.34
05-04-2022 23:00,3.34,4.34
06-04-2022 00:00,3.34,3.34
06-04-2022 01:00,3.34,3.34
06-04-2022 02:00,3.34,3.34
06-04-2022 03:00,2.34,2.34
06-04-2022 04:00,0.34,0.34
06-04-2022 05:00,1.34,1.34
06-04-2022 06:00,3.34,3.34
06-04-2022 07:00,2.34,2.34
06-04-2022 08:00,1.34,1.34
06-04-2022 09:00,2.34,2.34
06-04-2022 10:00,2.34,2.34
06-04-2022 11:00,5.34,5.34
06-04-2022 12:00,6.34,6.34
06-04-2022 13:00,6.34,6.34
06-04-2022 14:00,6.34,6.34
06-04-2022 15:00,6.34,6.34
06-04-2022 16:00,5.34,5.34
06-04-2022 17:00,5.34,5.34
06-04-2022 18:00,5.34,5.34
06-04-2022 19:00,5.34,5.34
06-04-2022 20:00,5.34,5.34
06-04-2022 21:00,5.42,6.34
06-04-2022 22:00,5.36,5.34
06-04-2022 23:00,5.47,5.34
07-04-2022 00:00,5.52,5.34
07-04-2022 01:00,6.18,5.34
07-04-2022 02:00,5.91,5.34
07-04-2022 03:00,5.52,6.34
07-04-2022 04:00,5.46,5.34
07-04-2022 05:00,5.51,5.34
07-04-2022 06:00,5.75,5.34
07-04-2022 07:00,6.03,6.34
07-04-2022 08:00,6.19,6.34
07-04-2022 09:00,6.07,7.34
07-04-2022 10:00,6.69,7.34
07-04-2022 11:00,7.24,6.34
07-04-2022 12:00,7.14,6.34
07-04-2022 13:00,7.27,7.34
07-04-2022 14:00,6.82,4.34
07-04-2022 15:00,4.14,4.34
07-04-2022 16:00,3.82,4.34
07-04-2022 17:00,4.35,4.34
07-04-2022 18:00,4.43,4.34
07-04-2022 19:00,5.25,5.34
07-04-2022 20:00,5.34,5.34
07-04-2022 21:00,5.26,5.34
07-04-2022 22:00,4.9,4.34
07-04-2022 23:00,4.83,4.34
08-04-2022 00:00,4.54,4.34
08-04-2022 01:00,4.18,4.34
08-04-2022 02:00,2.98,3.34
08-04-2022 03:00,3.1,3.34
08-04-2022 04:00,2.99,3.34
08-04-2022 05:00,3.08,3.34
08-04-2022 06:00,3.04,3.34
08-04-2022 07:00,2.92,4.34
08-04-2022 08:00,3.11,4.34
08-04-2022 09:00,3.45,5.34
08-04-2022 10:00,3.85,5.34
08-04-2022 11:00,4.08,5.34
08-04-2022 12:00,4.28,5.34
08-04-2022 13:00,4.51,2.34
08-04-2022 14:00,4.69,4.34
08-04-2022 15:00,4.51,3.34
08-04-2022 16:00,4.33,1.34
08-04-2022 17:00,4.16,4.34
08-04-2022 18:00,3.95,4.34
08-04-2022 19:00,3.82,4.34
08-04-2022 20:00,3.66,3.34
08-04-2022 21:00,3.58,4.34
08-04-2022 22:00,3.45,3.34
08-04-2022 23:00,3.22,3.34
09-04-2022 00:00,2.97,3.34
09-04-2022 01:00,2.7,3.34
09-04-2022 02:00,2.6,3.34
09-04-2022 03:00,2.44,3.34
09-04-2022 04:00,2.4,3.34
09-04-2022 05:00,2.5,3.34
09-04-2022 06:00,2.89,3.34
09-04-2022 08:00,4.34,4.34
09-04-2022 09:00,5.34,5.34
09-04-2022 10:00,5.34,5.34
09-04-2022 11:00,5.34,5.34
09-04-2022 12:00,6.34,6.34
09-04-2022 13:00,6.34,6.34
09-04-2022 14:00,5.34,5.34
09-04-2022 15:00,5.34,5.34
09-04-2022 16:00,5.34,5.34
09-04-2022 17:00,5.34,5.34
09-04-2022 18:00,4.34,4.34
09-04-2022 19:00,4.34,4.34
09-04-2022 20:00,4.34,4.34
09-04-2022 21:00,4.34,4.34
09-04-2022 22:00,4.34,4.34
09-04-2022 23:00,4.34,4.34
10-04-2022 00:00,4.34,4.34
10-04-2022 01:00,4.34,4.34
10-04-2022 02:00,4.34,4.34
10-04-2022 03:00,4.34,4.34
10-04-2022 04:00,4.34,4.34
10-04-2022 05:00,4.34,4.34
10-04-2022 06:00,4.34,4.34
10-04-2022 07:00,4.34,4.34
10-04-2022 08:00,4.34,4.34
10-04-2022 09:00,4.34,4.34
10-04-2022 10:00,4.34,4.34
10-04-2022 11:00,5.34,5.34
10-04-2022 12:00,5.34,5.34
10-04-2022 13:00,6.34,6.34
10-04-2022 14:00,5.34,5.34
10-04-2022 15:00,6.34,6.34
10-04-2022 16:00,5.32,5.34
10-04-2022 17:00,5.34,5.34
10-04-2022 18:00,5.16,4.34
10-04-2022 19:00,4.87,4.34
10-04-2022 20:00,4.41,4.34
10-04-2022 21:00,4.15,4.34
10-04-2022 22:00,4.34,4.34
10-04-2022 23:00,4.08,4.34
11-04-2022 00:00,3.7,3.34
11-04-2022 01:00,3.31,3.34
11-04-2022 02:00,2.89,3.34
11-04-2022 03:00,2.37,3.34
11-04-2022 04:00,2.3,3.34
11-04-2022 05:00,2.41,3.34
11-04-2022 06:00,2.81,3.34
11-04-2022 07:00,3.03,4.34
11-04-2022 08:00,3.18,4.34
11-04-2022 09:00,3.45,4.34
11-04-2022 10:00,4.23,4.34
11-04-2022 11:00,4.34,4.34
11-04-2022 12:00,4.33,5.34
11-04-2022 13:00,5.19,5.34
11-04-2022 14:00,5.34,5.34
11-04-2022 15:00,5.22,5.34
11-04-2022 16:00,5.34,5.34
11-04-2022 17:00,5.34,5.34
11-04-2022 18:00,5.08,4.34
11-04-2022 19:00,4.78,4.34
11-04-2022 20:00,4.51,4.34
11-04-2022 21:00,4.03,4.34
11-04-2022 22:00,3.4,3.34
11-04-2022 23:00,3.03,0.34
12-04-2022 00:00,2.78,-0.66
12-04-2022 01:00,2.61,-0.66
12-04-2022 02:00,2.47,-0.66
12-04-2022 03:00,2.39,-0.66
12-04-2022 04:00,2.31,-0.66
12-04-2022 05:00,2.5,0.34
12-04-2022 06:00,3.23,3.34
12-04-2022 07:00,3.9,5.34
12-04-2022 08:00,4.4,5.34
12-04-2022 09:00,4.71,4.34
12-04-2022 10:00,4.84,6.34
12-04-2022 11:00,5.05,6.34
12-04-2022 12:00,5.34,6.34
12-04-2022 13:00,5.52,6.34
12-04-2022 14:00,5.55,6.34
12-04-2022 15:00,5.49,6.34
12-04-2022 16:00,5.08,7.34
12-04-2022 17:00,4.52,7.34
12-04-2022 18:00,3.97,5.34
12-04-2022 19:00,3.93,4.34
12-04-2022 20:00,3.99,4.34
12-04-2022 21:00,4.04,3.34
12-04-2022 22:00,3.93,4.34
12-04-2022 23:00,4.07,4.34
13-04-2022 00:00,3.93,4.34
13-04-2022 01:00,3.79,4.34
13-04-2022 02:00,3.89,4.34
13-04-2022 03:00,4.11,4.34
13-04-2022 04:00,4.0,5.34
13-04-2022 05:00,4.34,5.34
13-04-2022 06:00,4.34,5.34
13-04-2022 07:00,5.34,6.34
13-04-2022 08:00,6.64,7.34
13-04-2022 09:00,7.34,8.34
13-04-2022 10:00,8.34,8.34
13-04-2022 11:00,10.34,10.34
13-04-2022 12:00,12.34,12.34
13-04-2022 13:00,13.34,13.34
13-04-2022 14:00,13.34,13.34
13-04-2022 15:00,13.34,13.34
13-04-2022 16:00,13.34,13.34
13-04-2022 17:00,12.34,12.34
13-04-2022 18:00,10.34,10.34
13-04-2022 19:00,9.34,9.34
13-04-2022 20:00,10.34,10.34
13-04-2022 21:00,8.34,8.34
13-04-2022 22:00,9.34,9.34
13-04-2022 23:00,7.34,7.34
14-04-2022 00:00,7.34,7.34
14-04-2022 01:00,7.34,7.34
14-04-2022 02:00,7.34,7.34
14-04-2022 03:00,7.34,7.34
14-04-2022 04:00,7.34,7.34
14-04-2022 05:00,8.34,8.34
14-04-2022 06:00,7.34,7.34
14-04-2022 07:00,7.34,7.34
14-04-2022 08:00,7.34,7.34
14-04-2022 09:00,6.34,6.34
14-04-2022 10:00,6.34,6.34
14-04-2022 11:00,6.34,6.34
14-04-2022 12:00,6.34,6.34
14-04-2022 13:00,6.34,6.34
14-04-2022 14:00,6.34,6.34
14-04-2022 15:00,6.34,6.34
14-04-2022 16:00,6.34,6.34
14-04-2022 17:00,6.34,6.34
14-04-2022 18:00,5.34,5.34
14-04-2022 19:00,5.34,5.34
14-04-2022 20:00,5.43,6.34
14-04-2022 21:00,5.55,5.34
14-04-2022 22:00,5.55,5.34
14-04-2022 23:00,5.64,5.34
15-04-2022 00:00,5.61,5.34
15-04-2022 01:00,5.31,5.34
15-04-2022 02:00,4.88,5.34
15-04-2022 03:00,4.36,5.34
15-04-2022 04:00,3.85,4.34
15-04-2022 05:00,3.81,4.34
15-04-2022 06:00,3.71,4.34
15-04-2022 07:00,3.64,4.34
15-04-2022 08:00,3.55,4.34
15-04-2022 09:00,3.69,4.34
15-04-2022 10:00,3.86,4.34
15-04-2022 11:00,4.1,4.34
15-04-2022 12:00,4.24,5.34
15-04-2022 13:00,4.24,5.34
15-04-2022 14:00,4.16,5.34
15-04-2022 15:00,3.99,5.34
15-04-2022 16:00,3.91,5.34
15-04-2022 17:00,3.73,5.34
15-04-2022 18:00,3.39,4.34
15-04-2022 19:00,3.21,4.34
15-04-2022 20:00,3.17,4.34
15-04-2022 21:00,3.2,3.34
15-04-2022 22:00,3.18,3.34
15-04-2022 23:00,3.1,3.34
16-04-2022 00:00,2.99,3.34
16-04-2022 01:00,2.99,2.34
16-04-2022 02:00,2.94,2.34
16-04-2022 03:00,2.93,2.34
16-04-2022 04:00,2.82,2.34
16-04-2022 05:00,3.0,2.34
16-04-2022 06:00,3.41,4.34
16-04-2022 07:00,5.34,5.34
16-04-2022 08:00,6.34,6.34
16-04-2022 09:00,7.34,7.34
16-04-2022 10:00,8.34,8.34
16-04-2022 11:00,9.34,9.34
16-04-2022 12:00,9.34,9.34
16-04-2022 13:00,10.34,10.34
